t,phase,temp,power,sm_mhz,throttle
37.221,load,63,23.626,1132,1
37.272,load,63,23.626,1132,1
37.322,load,63,23.626,1132,1
37.373,load,63,23.626,1132,1
37.423,load,63,23.626,1132,1
37.474,load,63,23.645,1117,1
37.524,load,63,23.645,1117,1
37.575,load,63,23.645,1117,1
37.625,load,63,23.645,1117,1
37.675,load,63,23.645,1117,1
37.726,load,63,23.645,1117,1
37.776,load,63,23.645,1117,1
37.827,load,63,23.645,1117,1
37.877,load,63,23.645,1117,1
37.928,load,63,23.645,1117,1
37.978,load,63,22.748,1095,1
38.029,load,63,22.748,1095,1
38.079,load,63,22.748,1095,1
38.129,load,63,22.748,1095,1
38.18,load,63,22.748,1095,1
38.23,load,63,22.748,1095,1
38.281,load,63,22.748,1095,1
38.331,load,63,22.748,1095,1
38.382,load,63,22.748,1095,1
38.432,load,63,22.748,1095,1
38.482,load,63,21.375,1095,1
38.533,load,63,21.375,1095,1
38.584,load,63,21.375,1095,1
38.634,load,63,21.375,1095,1
38.684,load,63,21.375,1095,1
38.735,load,63,21.375,1095,1
38.786,load,63,21.375,1095,1
38.836,load,63,21.375,1095,1
38.887,load,63,21.375,1095,1
38.937,load,63,21.375,1095,1
38.988,load,63,21.5,1095,1
39.038,load,63,21.5,1095,1
39.088,load,63,21.5,1095,1
39.139,load,63,21.5,1095,1
39.189,load,63,21.5,1095,1
39.24,load,63,21.5,1095,1
39.29,load,63,21.5,1095,1
39.34,load,63,21.5,1095,1
39.391,load,63,21.5,1095,1
39.441,load,64,22.26,1117,1
39.491,load,64,22.26,1117,1
39.542,load,64,22.26,1117,1
39.592,load,64,22.26,1117,1
39.643,load,64,22.26,1117,1
39.693,load,64,22.26,1117,1
39.744,load,64,22.26,1117,1
39.794,load,64,22.26,1117,1
39.845,load,64,22.26,1117,1
39.895,load,64,22.26,1117,1
39.946,load,64,23.614,1117,1
39.996,load,64,23.614,1117,1
40.046,load,64,23.614,1117,1
40.097,load,64,23.614,1117,1
40.147,load,64,23.614,1117,1
40.197,load,64,23.614,1117,1
40.248,load,64,23.614,1117,1
40.298,load,64,23.614,1117,1
40.349,load,64,23.614,1117,1
40.399,load,64,23.614,1117,1
40.45,load,64,23.795,1117,1
40.5,load,64,23.795,1117,1
40.551,load,64,23.795,1117,1
40.601,load,64,23.795,1117,1
40.651,load,64,23.795,1117,1
40.702,load,64,23.795,1117,1
40.752,load,64,23.795,1117,1
40.802,load,64,23.795,1117,1
40.853,load,64,23.795,1117,1
40.903,load,64,23.795,1117,1
40.953,load,64,23.653,1117,1
41.004,load,64,23.653,1117,1
41.055,load,64,23.653,1117,1
41.105,load,64,23.653,1117,1
41.155,load,64,23.653,1117,1
41.206,load,64,23.653,1117,1
41.256,load,64,23.653,1117,1
41.306,load,64,23.653,1117,1
